,Station,Date,Time,CorrGrav,Line,StdDev,StdErr,RawGrav,X,Y,SensorTemp,TideCorr,TiltCorr,TempCorr,DriftCorr,MeasurDur,InstrHeight,LatUser,LonUser,ElevUser,LatGPS,LonGPS,ElevGPS,Corrections[drift-temp-na-tide-tilt]
4,2000,2024-09-25,02:03:03,3387.988,100,0.0434,0.0079,3384.5919,0.6,3.5,26.8524,-0.0412,0.0002,3.4371,0.0,30,0.0,-32.11837,115.84344,5.0,-32.363152,119.643196,366.9,1011
5,2000,2024-09-25,02:03:33,3387.9851,100,0.0533,0.0097,3384.5891,-0.2,3.2,26.8528,-0.0412,0.0001,3.4371,0.0,30,0.0,-32.11837,115.84344,5.0,-32.363152,119.643196,366.9,1011
6,2001,2024-09-25,02:21:45,3388.0864,100,0.0533,0.0097,3384.6868,0.6,12.1,26.8589,-0.0395,0.0016,3.4374,0.0,30,0.0,-32.11851,115.84343,5.0,-32.362728,119.643143,370.7,1011
7,2001,2024-09-25,02:22:15,3388.0913,100,0.0567,0.0104,3384.6915,-0.3,12.2,26.8557,-0.0394,0.0017,3.4375,0.0,30,0.0,-32.11851,115.84343,5.0,-32.362728,119.643143,370.7,1011
8,2001,2024-09-25,02:25:23,3388.0595,100,0.0462,0.0084,3384.66,-7.5,-6.4,26.8534,-0.0391,0.0011,3.4375,0.0,30,0.0,-32.11851,115.84343,5.0,-32.362728,119.643143,370.7,1011
9,2001,2024-09-25,02:25:53,3388.06,100,0.0487,0.0089,3384.6601,-7.7,-6.6,26.8607,-0.039,0.0013,3.4376,0.0,30,0.0,-32.11851,115.84343,5.0,-32.362728,119.643143,370.7,1011
10,2002,2024-09-25,02:37:55,3387.9337,100,0.0508,0.0093,3384.5309,9.0,-5.0,26.8638,-0.0377,0.0012,3.4392,0.0,30,0.0,-32.11851,115.84343,5.0,-32.362442,119.642952,373.9,1011
11,2002,2024-09-25,02:38:25,3387.9348,100,0.0466,0.0085,3384.5313,10.3,-6.4,26.8684,-0.0376,0.0018,3.4393,0.0,30,0.0,-32.11851,115.84343,5.0,-32.362442,119.642952,373.9,1011
12,2003,2024-09-25,02:45:50,3387.8488,100,0.0404,0.0074,3384.444,12.9,5.2,26.8729,-0.0367,0.0021,3.4393,0.0,30,0.0,-32.11851,115.84343,5.0,-32.361912,119.642685,374.7,1011
13,2003,2024-09-25,02:46:20,3387.8459,100,0.0356,0.0065,3384.4401,13.0,6.2,26.8733,-0.0366,0.0027,3.4397,0.0,30,0.0,-32.11851,115.84343,5.0,-32.361912,119.642685,374.7,1011
14,2004,2024-09-25,02:54:36,3387.9086,100,0.042,0.0077,3384.5003,-10.7,13.8,26.877,-0.0355,0.0032,3.4405,0.0,30,0.0,-32.11851,115.84343,5.0,-32.361549,119.642609,376.5,1011
15,2004,2024-09-25,02:55:06,3387.9118,100,0.0521,0.0095,3384.5029,-11.2,14.7,26.8778,-0.0354,0.004,3.4403,0.0,30,0.0,-32.11851,115.84343,5.0,-32.361549,119.642609,376.5,1011
16,2005,2024-09-25,03:01:55,3387.9812,100,0.0401,0.0073,3384.5736,-7.7,-9.5,26.8805,-0.0344,0.0016,3.4405,0.0,30,0.0,-32.11851,115.84343,5.0,-32.36113,119.642456,375.8,1011
17,2005,2024-09-25,03:02:25,3387.9831,100,0.0526,0.0096,3384.575,-5.9,-10.7,26.8827,-0.0344,0.0019,3.4406,0.0,30,0.0,-32.11851,115.84343,5.0,-32.36113,119.642456,375.8,1011
18,2006,2024-09-25,03:15:28,3388.101,100,0.0737,0.0135,3384.6768,-35.8,7.3,26.8866,-0.0323,0.0151,3.4413,0.0,30,0.0,-32.11851,115.84343,5.0,-32.36068,119.642334,376.3,1011
19,2006,2024-09-25,03:15:58,3388.1044,100,0.0536,0.0098,3384.6801,-34.2,9.6,26.892,-0.0322,0.0148,3.4417,0.0,30,0.0,-32.11851,115.84343,5.0,-32.36068,119.642334,376.3,1011
20,2007,2024-09-25,03:23:07,3388.0576,100,0.0468,0.0085,3384.6451,-4.2,-4.8,26.8958,-0.031,0.0006,3.4429,0.0,30,0.0,-32.11851,115.84343,5.0,-32.360249,119.642189,374.6,1011
21,2007,2024-09-25,03:23:37,3388.0523,100,0.052,0.0095,3384.6394,-3.6,-6.2,26.8917,-0.0309,0.0007,3.443,0.0,30,0.0,-32.11851,115.84343,5.0,-32.360249,119.642189,374.6,1011
22,2008,2024-09-25,03:31:00,3387.9504,100,0.0596,0.0109,3384.5356,-6.5,-5.3,26.896,-0.0296,0.0009,3.4435,0.0,30,0.0,-32.11851,115.84343,5.0,-32.359821,119.642029,373.5,1011
23,2008,2024-09-25,03:31:30,3387.9521,100,0.0486,0.0089,3384.5369,-6.0,-6.4,26.9022,-0.0295,0.001,3.4437,0.0,30,0.0,-32.11851,115.84343,5.0,-32.359821,119.642029,373.5,1011
24,2009,2024-09-25,03:39:59,3388.0795,100,0.0486,0.0089,3384.6623,-4.2,7.7,26.9052,-0.0278,0.0009,3.4441,0.0,30,0.0,-32.11851,115.84343,5.0,-32.359356,119.641991,374.1,1011
25,2009,2024-09-25,03:40:29,3388.0794,100,0.0531,0.0097,3384.6627,-4.2,6.0,26.9012,-0.0277,0.0007,3.4439,0.0,30,0.0,-32.11851,115.84343,5.0,-32.359356,119.641991,374.1,1011
26,2010,2024-09-25,03:48:56,3388.1011,100,0.0556,0.0101,3384.6816,-1.8,-9.2,26.9087,-0.026,0.0011,3.4444,0.0,30,0.0,-32.11851,115.84343,5.0,-32.358906,119.641899,375.6,1011
27,2010,2024-09-25,03:49:26,3388.0996,100,0.0568,0.0104,3384.6796,-1.8,-11.4,26.911,-0.0259,0.0016,3.4442,0.0,30,0.0,-32.11851,115.84343,5.0,-32.358906,119.641899,375.6,1011
28,2011,2024-09-25,03:56:25,3388.0827,100,0.0504,0.0092,3384.6621,2.3,3.6,26.9071,-0.0244,0.0003,3.4448,0.0,30,0.0,-32.11851,115.84343,5.0,-32.358456,119.641785,374.7,1011
29,2011,2024-09-25,03:56:55,3388.0842,100,0.0424,0.0077,3384.6637,2.4,3.9,26.9103,-0.0243,0.0003,3.4446,0.0,30,0.0,-32.11851,115.84343,5.0,-32.358456,119.641785,374.7,1011
30,2000,2024-09-25,04:16:07,3387.9745,100,0.04,0.0073,3384.5521,-2.8,10.4,26.8796,-0.0199,0.0013,3.4409,0.0,30,0.0,-32.11851,115.84343,5.0,-32.363091,119.643234,372.5,1011
31,2000,2024-09-25,04:16:37,3387.9733,100,0.0323,0.0059,3384.5517,-3.1,6.2,26.8804,-0.0197,0.0005,3.4408,0.0,30,0.0,-32.11851,115.84343,5.0,-32.363091,119.643234,372.5,1011
32,2000,2024-09-25,05:17:05,3387.9718,100,0.0622,0.0114,3384.5259,-13.1,4.9,26.9286,-0.0027,0.0021,3.4466,0.0,30,0.0,-32.11851,115.84343,5.0,-32.363091,119.643234,372.5,1011
33,2000,2024-09-25,05:17:35,3387.9642,100,0.0444,0.0081,3384.5176,-13.2,5.0,26.9253,-0.0026,0.0023,3.4468,0.0,30,0.0,-32.11851,115.84343,5.0,-32.363091,119.643234,372.5,1011
34,2012,2024-09-25,05:44:12,3387.9557,100,0.0407,0.0074,3384.5036,8.1,-8.1,26.907,0.0061,0.0016,3.4444,0.0,30,0.0,-32.11851,115.84343,5.0,-32.357983,119.641617,369.8,1011
35,2012,2024-09-25,05:44:42,3387.956,100,0.0571,0.0104,3384.5032,8.5,-8.9,26.9041,0.0063,0.0018,3.4447,0.0,30,0.0,-32.11851,115.84343,5.0,-32.357983,119.641617,369.8,1011
36,2013,2024-09-25,05:55:47,3387.8651,100,0.0683,0.0125,3384.4061,18.4,-0.5,26.9128,0.0101,0.0038,3.4451,0.0,30,0.0,-32.11851,115.84343,5.0,-32.357674,119.641533,367.9,1011
37,2013,2024-09-25,05:56:17,3387.8592,100,0.1054,0.0192,3384.4021,13.8,-1.4,26.9182,0.0103,0.0018,3.445,0.0,30,0.0,-32.11851,115.84343,5.0,-32.357674,119.641533,367.9,1011
